rank,author,composite_score,count,team_size,grade,game_position,performance_score,participation_score,community_score,Fun_score,Overall_score,Mood_score,Graphics_score,Innovation_score,Audio_score,Theme_score,Humor_score
1,103086,2941.215925718526,4,9,195.75,"[130.0, 194.0, 1196.0, 874.0, 499.0, 263.0, 64.0, 315.0]",0.7405846531217988,4.0,188.625,0.8060946987951807,0.6789999999999999,0.7955757225433526,0.792315918598078,0.5809763112683173,0.7747603533568904,0.726954929235746,0.8756916320807627
2,139741,2926.215925718526,3,9,195.75,"[130.0, 194.0, 1196.0, 874.0, 499.0, 263.0, 64.0, 315.0]",0.7405846531217988,3.0,188.625,0.8060946987951807,0.6789999999999999,0.7955757225433526,0.792315918598078,0.5809763112683173,0.7747603533568904,0.726954929235746,0.8756916320807627
2,139870,2926.215925718526,3,9,195.75,"[130.0, 194.0, 1196.0, 874.0, 499.0, 263.0, 64.0, 315.0]",0.7405846531217988,3.0,188.625,0.8060946987951807,0.6789999999999999,0.7955757225433526,0.792315918598078,0.5809763112683173,0.7747603533568904,0.726954929235746,0.8756916320807627
4,103099,2911.215925718526,2,9,195.75,"[130.0, 194.0, 1196.0, 874.0, 499.0, 263.0, 64.0, 315.0]",0.7405846531217988,2.0,188.625,0.8060946987951807,0.6789999999999999,0.7955757225433526,0.792315918598078,0.5809763112683173,0.7747603533568904,0.726954929235746,0.8756916320807627
4,176953,2911.215925718526,2,9,195.75,"[130.0, 194.0, 1196.0, 874.0, 499.0, 263.0, 64.0, 315.0]",0.7405846531217988,2.0,188.625,0.8060946987951807,0.6789999999999999,0.7955757225433526,0.792315918598078,0.5809763112683173,0.7747603533568904,0.726954929235746,0.8756916320807627
4,103095,2911.215925718526,2,9,195.75,"[130.0, 194.0, 1196.0, 874.0, 499.0, 263.0, 64.0, 315.0]",0.7405846531217988,2.0,188.625,0.8060946987951807,0.6789999999999999,0.7955757225433526,0.792315918598078,0.5809763112683173,0.7747603533568904,0.726954929235746,0.8756916320807627
4,176806,2911.215925718526,2,9,195.75,"[130.0, 194.0, 1196.0, 874.0, 499.0, 263.0, 64.0, 315.0]",0.7405846531217988,2.0,188.625,0.8060946987951807,0.6789999999999999,0.7955757225433526,0.792315918598078,0.5809763112683173,0.7747603533568904,0.726954929235746,0.8756916320807627
4,204593,2911.215925718526,2,9,195.75,"[130.0, 194.0, 1196.0, 874.0, 499.0, 263.0, 64.0, 315.0]",0.7405846531217988,2.0,188.625,0.8060946987951807,0.6789999999999999,0.7955757225433526,0.792315918598078,0.5809763112683173,0.7747603533568904,0.726954929235746,0.8756916320807627
4,103159,2911.215925718526,2,9,195.75,"[130.0, 194.0, 1196.0, 874.0, 499.0, 263.0, 64.0, 315.0]",0.7405846531217988,2.0,188.625,0.8060946987951807,0.6789999999999999,0.7955757225433526,0.792315918598078,0.5809763112683173,0.7747603533568904,0.726954929235746,0.8756916320807627
10,85869,2673.8119977445967,5,11,75.125,"[60.0, 333.0, 460.0, 1104.0, 111.0, 49.0, 324.0, 37.0]",0.7884305933717379,5.0,169.574790413905,0.7434740963855421,0.7911399999999998,0.9053838150289018,0.902635805539853,0.7250278120262759,0.8792141342756185,0.6200935948241002,0.7542451374088615
