id,name,author,team_size,slug,published,created,modified,comments,game_position,ludum_dare_version,data_authors,game_link,links_body,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
385508,Would you still love me if I was a worm ❤️🪱?,"[317477, 78645, 387667, 141248, 387582, 385512]",6,would-you-still-love-me-if-i-was-a-worm,2024-04-16T00:07:06Z,2024-04-09T15:25:40Z,2024-10-25T15:51:24Z,56,1,55,https://api.ldjam.com/vx/node2/get/317477+78645+387667+141248+387582+385512,/events/ludum-dare/55/would-you-still-love-me-if-i-was-a-worm,['https://rb.gy/s78f79'],96.032401939253,26,51.875,57.25,4.664,1,4.661,1,4.143,50,4.118,227,4.42,107,4.309,26,4.664,3,4.472,18,-32.387659621719
388726,Seance,"[2836, 4925, 380475, 392690, 392757, 78798]",6,seance,2024-04-16T01:26:57Z,2024-04-12T22:18:56Z,2024-10-25T15:51:24Z,75,2,55,https://api.ldjam.com/vx/node2/get/2836+4925+380475+392690+392757+78798,/events/ludum-dare/55/seance,[],132.74466231999,63,101.5,66,4.648,2,4.305,24,4.203,38,4.828,1,4.734,11,4.797,1,,,4.773,1,-17.608731239996
384776,Throes of the Javelin,"[242787, 100173, 252481, 389282]",4,throes-of-the-javelin,2024-04-16T01:52:12Z,2024-04-08T00:08:58Z,2024-10-25T15:51:24Z,93,3,55,https://api.ldjam.com/vx/node2/get/242787+100173+252481+389282,/events/ludum-dare/55/throes-of-the-javelin,"['https://www.youtube.com/watch?v=y1KG6u8WH64', 'https://discord.gg/fXCFNjm3wq']",71.151247353789,40,50.625,118,4.526,3,4.376,10,4.308,18,3.927,384,4.645,23,4.407,14,,,4.404,29,-48.012475508996
384260,"The Magic Flute: Bee Proud of Me, Dad!","[24231, 345432, 368723, 67686, 94267, 387130]",6,the-magic-flute-bee-proud-of-me-dad,2024-04-16T01:02:07Z,2024-04-05T02:04:28Z,2024-10-25T15:51:24Z,28,4,55,https://api.ldjam.com/vx/node2/get/24231+345432+368723+67686+94267+387130,/events/ludum-dare/55/the-magic-flute-bee-proud-of-me-dad,[],89.55067655522,46,20.75,26.875,4.48,4,4.24,38,3.94,119,4.24,144,4.375,138,4.6,5,4.2,55,4.36,36,4.384181501175
385906,Out of Chalk,"[385905, 385872, 385914]",3,out-of-chalk,2024-04-15T22:59:14Z,2024-04-10T12:35:12Z,2024-10-25T15:51:24Z,41,5,55,https://api.ldjam.com/vx/node2/get/385905+385872+385914,/events/ludum-dare/55/out-of-chalk,"['https://coffe789.itch.io', 'https://neozoid-games.itch.io/', 'https://vertigofy.bandcamp.com/']",97.894501037256,34,40.25,43,4.479,5,4.426,5,4.574,2,4.543,21,4.543,55,4.3,30,4.313,33,4.396,31,-21.553545944726
388457,Globeba,"[181480, 181995, 181481, 181994, 240876, 181990, 251652, 281656, 214979, 266777, 217019, 34159]",12,globeba,2024-04-16T01:49:26Z,2024-04-12T19:52:38Z,2024-10-25T15:51:24Z,40,6,55,https://api.ldjam.com/vx/node2/get/181480+181995+181481+181994+240876+181990+251652+281656+214979+266777+217019+34159,/events/ludum-dare/55/globeba,"['https://twitter.com/OvergrownRobot', 'https://twitter.com/shrombus', 'https://twitter.com/val_gooby', 'https://twitter.com/duckonaut', 'https://twitter.com/plutobirdo', 'https://twitter.com/squp_haver', 'https://twitter.com/tuplepaw', 'https://oroshibu.bandcamp.com/album/globeba', 'https://www.youtube.com/watch?v=CKqDv3D8iqA', 'https://twitter.com/bugblite', 'https://twitter.com/happyheadd', 'https://twitter.com/oroshibu', 'https://twitter.com/attfooy', 'https://twitter.com/block_snake']",81.693169770837,23,39.125,59.625,4.466,6,4.319,19,3.465,486,3.879,420,4.873,1,4.603,4,3.336,413,4.298,50,-33.333333333333
383528,PolyMancer,[336560],1,polymancer-1,2024-04-16T00:39:19Z,2024-03-30T12:06:47Z,2024-10-25T15:51:24Z,73,7,55,https://api.ldjam.com/vx/node2/get/336560,/events/ludum-dare/55/polymancer-1,['https://discord.gg/DMWmewb4pC'],38.683808688285,4,7.875,71.5,4.464,7,4.601,2,4.529,4,3.181,940,4.174,263,,,2.75,,4.144,102,-64.304152224844
384929,Tao,"[133940, 356080]",2,tao,2024-04-15T14:10:45Z,2024-04-08T11:37:59Z,2024-10-25T15:51:24Z,81,8,55,https://api.ldjam.com/vx/node2/get/133940+356080,/events/ludum-dare/55/tao,[],57.118298293979,22,32.625,103.75,4.447,8,4.38,9,3.767,244,3.755,515,4.486,82,4.155,66,2.885,667,4.178,86,-51.872478228221
383072,Tristram,"[12833, 236586, 12991, 214618, 290166, 385421]",6,tristram,2024-04-15T22:48:18Z,2024-03-26T21:20:13Z,2024-10-25T15:51:24Z,148,9,55,https://api.ldjam.com/vx/node2/get/12833+236586+12991+214618+290166+385421,/events/ludum-dare/55/tristram,"['https://twitter.com/MV_Raffa', 'https://cameronpaxton.com', 'https://www.linkedin.com/in/moritz-schaarschmidt-92a1a8b8/', 'https://twitter.com/BippinBits', 'https://cameronpaxton.bandcamp.com/album/tristram-ost', 'https://twitter.com/MartinKvale', 'https://twitter.com/IdinaKloppstock']",48.088460154178,15,23.125,205.42857142857,4.439,9,4.137,70,3.936,121,3.944,368,4.784,4,4.584,6,,,4.609,4,-68.087170135033
389578,Furriend: A Paw-some Summoning Odyssey,"[359614, 386754, 386639, 386644]",4,furriend-a-paw-some-summoning-odyssey,2024-04-15T20:35:36Z,2024-04-13T06:10:51Z,2024-10-25T15:51:24Z,53,10,55,https://api.ldjam.com/vx/node2/get/359614+386754+386639+386644,/events/ludum-dare/55/furriend-a-paw-some-summoning-odyssey,['https://pralista.itch.io/furriend'],64.46837429806,53,20.625,57.857142857143,4.429,10,4.259,36,3.884,167,3.902,406,4.688,16,4.418,12,,,4.5,13,-16.029940611034
